username,caption ,comment ,bio ,name,other posts caption ,other posts comment,location frequency,method,country,addition
peerapong_1034,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Thailand,
ploy_jeab,1,,1,,1,1,,"caption,bio,other posts caption, other posts comment",Thailand,
1_malys,1,,1,,1,1,,"caption,bio,other posts caption,other posts comment",Thailand,
p.rangsiyanont,,,,,,,1,"location frequency",Thailand,caption in english
petchrachasak,1,,1,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Thailand
iamgosin,1,,,,1,1,1,"caption,other posts caption,other posts comment,location frequency",Thailand,
noom428915,1,1,,,1,1,1,"caption,comment,other posts caption,other posts comment,location frequency",Thailand,
kwenachokoe,,,,,,,,,UNKNONW,caption in english
